Order ID,Customer ID,Product ID,Date,Original Price,Discount%
OD0001,C001,P0001,25-09-2022,349.00,30.00%
OD0002,C002,P0001,25-08-2021,350.00,30.00%
OD0003,C003,P0001,25-07-2021,351.00,30.00%
OD0004,C004,P0001,25-01-2022,352.00,25.00%
OD0005,C005,P0001,14-04-2021,353.00,25.00%
OD0006,C006,P0002,13-04-2022,354.00,30.00%
OD0007,C007,P0003,11-05-2021,355.00,30.00%
OD0008,C008,P0004,29-01-2021,356.00,30.00%
OD0009,C009,P0005,16-06-2022,2222.00,40.00%
OD0010,C010,P0006,26-10-2022,2342.00,40.00%
OD0011,C011,P0007,18-04-2021,2241.00,40.00%
OD0012,C012,P0007,25-01-2022,2253.00,40.00%
OD0013,C013,P0007,17-06-2022,2245.00,40.00%
OD0014,C014,P0008,30-07-2022,2231.00,40.00%
OD0015,C015,P0009,09-12-2021,2452.00,45.00%
OD0016,C016,P0010,14-02-2021,2236.00,45.00%
OD0017,C017,P0011,06-08-2021,2245.00,45.00%
OD0018,C018,P0012,01-04-2022,2235.00,47.00%
OD0019,C019,P0012,06-11-2022,2214.00,47.00%
OD0020,C020,P0012,18-02-2023,2231.00,46.00%
OD0021,C021,P0013,14-12-2021,2145.00,46.00%
OD0022,C022,P0014,07-01-2021,2356.00,46.00%
OD0023,C023,P0015,28-11-2021,2412.00,30.00%
OD0024,C024,P0016,03-12-2022,2234.00,30.00%
OD0025,C025,P0017,07-02-2021,2214.00,30.00%
OD0026,C026,P0018,07-05-2022,999.00,30.00%
OD0027,C027,P0019,20-02-2023,1119.00,30.00%
OD0028,C028,P0020,21-03-2023,1119.00,35.00%
OD0029,C029,P0021,27-02-2022,1119.00,35.00%
OD0030,C030,P0022,07-06-2021,1119.00,35.00%
OD0031,C031,P0023,25-04-2021,985.00,35.00%
OD0032,C032,P0024,17-01-2021,985.00,35.00%
OD0033,C033,P0024,03-07-2022,985.00,35.00%
OD0034,C034,P0024,26-08-2021,985.00,40.00%
OD0035,C035,P0025,28-10-2022,985.00,40.00%
OD0036,C036,P0026,08-04-2022,369.00,15.00%
OD0037,C037,P0027,24-03-2023,399.00,15.00%
OD0038,C038,P0028,22-01-2023,399.00,15.00%
OD0039,C039,P0029,26-02-2023,399.00,35.00%
OD0040,C040,P0030,29-08-2021,399.00,35.00%
OD0041,C041,P0031,16-09-2022,555.00,35.00%
OD0042,C042,P0032,15-04-2022,555.00,35.00%
OD0043,C043,P0033,30-07-2022,555.00,55.00%
OD0044,C044,P0034,14-03-2023,555.00,55.00%
OD0045,C045,P0035,21-02-2023,675.00,55.00%
OD0046,C046,P0036,12-06-2022,675.00,55.00%
OD0047,C047,P0037,01-11-2021,675.00,50.00%
OD0048,C048,P0038,09-04-2021,654.00,50.00%
OD0049,C049,P0038,19-07-2022,654.00,50.00%
OD0050,C050,P0038,01-08-2022,654.00,50.00%
OD0051,C051,P0039,21-04-2022,654.00,50.00%
OD0052,C052,P0040,09-03-2021,356.00,30.00%
OD0053,C053,P0041,17-01-2023,2235.00,32.00%
OD0054,C054,P0042,13-02-2022,1125.00,25.00%
OD0055,C055,P0043,14-06-2021,2451.00,45.00%
OD0056,C056,P0044,15-03-2021,2263.00,15.00%
OD0057,C057,P0045,06-03-2021,1365.00,33.00%
OD0058,C058,P0046,20-01-2023,2453.00,42.00%
OD0059,C059,P0047,04-05-2021,1555.00,42.00%
OD0060,C060,P0048,03-11-2022,1234.00,39.00%
OD0061,C061,P0049,24-04-2022,2344.00,39.00%
OD0062,C062,P0050,11-04-2022,2142.00,39.00%
OD0063,C063,P0051,07-10-2022,2612.00,39.00%
OD0064,C064,P0051,19-03-2023,2243.00,30.00%
OD0065,C065,P0051,22-02-2022,333.00,30.00%
OD0066,C066,P0052,12-12-2021,236.00,30.00%
OD0067,C067,P0053,08-07-2022,456.00,25.00%
OD0068,C068,P0054,02-11-2021,963.00,25.00%
OD0069,C069,P0055,05-02-2021,234.00,30.00%
OD0070,C070,P0056,05-12-2022,456.00,30.00%
OD0071,C071,P0057,31-08-2021,564.00,30.00%
OD0072,C072,P0058,18-10-2021,634.00,40.00%
OD0073,C073,P0059,19-09-2021,236.00,40.00%
OD0074,C074,P0060,01-02-2023,444.00,40.00%
OD0075,C075,P0060,12-01-2021,456.00,40.00%
OD0076,C076,P0060,19-05-2021,963.00,40.00%
OD0077,C077,P0060,28-05-2021,456.00,40.00%
OD0078,C078,P0061,24-07-2021,1189.00,45.00%
OD0079,C079,P0062,02-02-2021,1298.00,45.00%
OD0080,C080,P0063,30-04-2022,1456.00,45.00%
OD0081,C081,P0064,08-09-2022,1478.00,47.00%
OD0082,C082,P0065,27-03-2021,256.00,47.00%
OD0083,C083,P0066,09-05-2021,2698.00,46.00%
OD0084,C084,P0067,21-03-2021,2364.00,46.00%
OD0085,C085,P0068,03-10-2021,1236.00,46.00%
OD0086,C086,P0069,24-05-2021,756.00,30.00%
OD0087,C087,P0070,16-10-2022,326.00,30.00%
OD0088,C088,P0071,18-03-2023,453.00,30.00%
OD0089,C089,P0072,12-10-2022,326.00,30.00%
OD0090,C090,P0073,11-08-2021,456.00,30.00%
OD0091,C091,P0074,08-12-2021,675.00,35.00%
OD0092,C092,P0075,08-03-2021,654.00,35.00%
OD0093,C093,P0076,01-09-2022,654.00,35.00%
OD0094,C094,P0077,09-12-2021,654.00,35.00%
OD0095,C095,P0077,15-01-2021,654.00,35.00%
OD0096,C096,P0077,25-11-2022,356.00,35.00%
OD0097,C097,P0077,10-05-2022,686.00,40.00%
OD0098,C098,P0077,01-03-2023,456.00,40.00%
OD0099,C099,P0078,23-03-2021,516.00,15.00%
OD0100,C100,P0079,19-01-2021,355.00,15.00%
OD0101,C001,P0080,29-07-2021,465.00,15.00%
OD0102,C002,P0081,19-07-2022,965.00,35.00%
OD0103,C003,P0082,13-04-2022,1158.00,35.00%
OD0104,C004,P0083,29-07-2021,264.00,35.00%
OD0105,C005,P0084,11-01-2023,433.00,35.00%
OD0106,C006,P0085,25-08-2022,562.00,55.00%
OD0107,C007,P0086,06-09-2022,423.00,55.00%
OD0108,C008,P0087,28-01-2021,621.00,55.00%
OD0109,C009,P0088,14-04-2022,333.00,55.00%
OD0110,C010,P0089,19-12-2021,236.00,50.00%
OD0111,C011,P0090,05-08-2021,456.00,50.00%
OD0112,C012,P0091,16-02-2022,963.00,50.00%
